nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
Aldi,40600,Biscarrosse,1001,Route de Parentis,,,-1.140665046478982,44.3812833472082,,180,,,,1,,,,,,1.09
Aldi,82000,Montauban,225,Avenue du Pére Léonid Chrol,,,1.376093924045563,44.00988175913535,,100,,,,1,,,1,,,1.09
ALDI,42270,Saint-Priest-en-Jarez,24,Rue de Villars,,,4.374347269622377,45.46545338195483,,90,,,,1,,,1,,,1.0
ALDI,28000,Chartres,31,Rue du Général George Patton,,,1.47429496049881,48.4413015261175,,90,,,,1,,,1,,,1.0
ALDI,79100,Saint-Jean-de-Thouars,45,Route de Parthenay,,,-0.210491,46.967983,,140,,,,1,,,1,,,1.36
ALDI,91940,Les Ulis,6,Avenue du Cap-Horn,,,2.1950635313987736,48.675398126851995,,90,,,,,,,1,,,0.55
Aldi et La Ferme de Longjumeau,91160,Longjumeau,1,Rue Pdt Francois Mitterrand,,,2.297175228595734,48.70132076086349,1,140,,1,,1,,,2,,,2.0
Aldi Marche,10200,BAR-SUR-AUBE,,Rue LOUIS DESPREZ,,,4.713105261325837,48.22766386322732,1,90,,,,1,,,2,,,1.18
Aldi Marche,10000,TROYES,159,Avenue ROBERT SCHUMANN,,,4.096588790416718,48.30966285790143,,90,,,,1,,,1,,,1.0
Aldi Marche,21121,AHUY,,LES GRANDES VARENNES,DE L'ACQUEDUC D'ARCY,,5.036807,47.355565,,,1,,,,,,2,,,0.82
Aldi Marche,25480,ECOLE-VALENTIN,39,Rue DE CHATILLON,,,5.992202460765839,47.280946753042464,1,90,,,,1,,,1,,,1.45
Aldi Marche,21000,DIJON,2,Avenue RAYMOND POINCARE,,,5.058158,47.328697,,,1,,,,,,2,,,0.82
Aldi Marche,25000,BESANCON,2,Avenue GEORGES CLEMENCEAU,,,6.013998091220857,47.24202530199087,1,90,,,,1,,,,,,1.18
Aldi Marche,55200,Commercy,,Rue du Port Canal,,http://aldi.fr/,5.596319,48.762384,,160,,,,1,,,,,,1.09
Aldi Marche,44110,CHATEAUBRIANT,,Rue DU PRESIDENT KENNEDY,,,-1.3843470811843872,47.70497493436341,1,140,,,,1,,,,,,1.55
Aldi Marche,10410,Saint-Parres-aux-Tertres,,Rue des Magnolias,,,4.130577743053437,48.29547492298487,,90,,,,1,,,1,,,1.0
Alegria,82600,Verdun-sur-Garonne,2,Rue Danielle Casanova,,,1.2357868999242785,43.85242673383235,1,90,,,,1,,,,,,1.18
A L Escargot,92110,CLICHY,15,Boulevard JEAN JAURES,,,2.30793178084241,48.89769697757723,1,77,,,,1,,,,1,1,1.82
Alexandra Coiffure,55000,Fains-Véel,29,Rue du Château,,,5.125193,48.791883,,,,,,,,,,1,,0.64
A L Express Pizza,78800,HOUILLES,96,Place ANDRE MALRAUX,,,2.184763848781586,48.91962290501197,,80,,,,1,,,,,,0.82
